county	state_abbrev	crime_rate_per_100000	MURDER	ROBBERY	BURGLRY
St. Louis city	MO	1791.995377	119	1778	4995
Crittenden	AR	1754.914968	8	165	1482
Alexander	IL	1664.700485	1	5	82
Kenedy	TX	1456.31068	0	1	5
De Soto Parish	LA	1447.40243	3	17	149
Baltimore city	MD	1419.537569	216	3638	7804
Shelby	TN	1315.003752	135	3512	14011
Marlboro	SC	1253.437132	3	32	408
Storey	NV	1217.656012	0	2	23
District of Columbia	DC	1216.801325	88	4037	3519
Dillon	SC	1165.583272	8	48	595
Scott	MO	1163.145839	2	26	236
Philadelphia	PA	1150.29633	332	7984	12004
Pershing	NV	1148.756725	0	1	27
Greenwood	SC	1140.226324	7	73	965
Madison	TN	1138.42383	13	196	1300
Davidson	TN	1129.513728	65	1753	5875
Marion	IN	1083.508119	102	3486	15125
Wayne	MI	1065.188284	433	5879	19882
Jackson	MO	1026.623686	116	1913	9695
Northwest Arctic Borough	AK	1014.964216	0	12	46
Pemiscot	MO	998.7095326	0	21	192
Iberville Parish	LA	974.0162436	5	26	266
Pulaski	AR	959.9165823	61	1058	7065
Jefferson	AR	959.1343198	14	139	1400
Miller	AR	956.1771347	1	45	488
Muskogee	OK	954.4400666	3	41	878
Barnwell	SC	953.9310095	5	33	349
Tangipahoa Parish	LA	952.8593755	11	185	2683
Marion	SC	941.6313295	8	51	771
Dillingham Census Area	AK	938.1237525	0	1	12
Dougherty	GA	930.4176661	4	240	1600
Carter	OK	930.0694974	4	37	450
Genesee	MI	922.7783984	69	980	6105
Macon	AL	919.341731	6	25	516
Milwaukee	WI	912.6349471	103	3426	8744
Richland	SC	911.4452882	24	809	4965
Grundy	TN	911.2461105	3	1	157
Greene	AL	903.4766697	0	7	48
Rock	MN	892.8571429	0	0	9
San Joaquin	CA	887.1644385	89	1992	8019
Pottawattamie	IA	873.5225606	1	83	1166
Nolan	TX	871.1844118	0	10	143
Kodiak Island Borough	AK	856.0311284	0	10	23
Winnebago	IL	854.9331535	15	553	2939
Suffolk	MA	831.2342903	60	2257	3956
Saginaw	MI	828.830479	29	242	1751
Dallas	AL	828.6503477	9	70	743
Fulton	GA	826.1767583	123	3365	11091
Anchorage Municipality	AK	824.7217146	15	488	1159
Madison	FL	822.2981632	1	13	153
Phillips	AR	818.6675817	1	26	478
Sangamon	IL	817.9969369	40	318	2104
Haywood	TN	812.1158911	0	10	226
Lucas	OH	810.9662621	40	1192	7618
Robeson	NC	809.8427036	13	273	2937
Meade	KS	805.8945429	0	0	5
Escambia	FL	798.51676	22	502	3899
Jefferson	AL	798.3574913	85	1597	9910
Nicholas	WV	793.3756981	1	2	86
Franklin	FL	793.2402138	1	1	84
St. Clair	IL	782.1542957	28	349	2426
Orleans Parish	LA	782.1184796	193	1066	3431
Ector	TX	781.9089826	5	163	1090
Avoyelles Parish	LA	777.2585293	2	17	378
Rapides Parish	LA	773.792033	9	169	1747
Sumter	SC	767.644257	12	103	1611
Comanche	OK	766.7864604	13	174	1702
Mississippi	AR	763.9897241	8	47	891
Colleton	SC	762.1467132	2	26	419
Modoc	CA	754.3456871	1	3	58
Alameda	CA	753.6935735	153	6220	13245
Sumter	GA	752.455044	0	40	741
Darlington	SC	746.3016118	10	70	1178
Red River Parish	LA	742.0733078	0	2	23
Lubbock	TX	740.6920961	12	328	3400
Socorro	NM	739.3084622	0	2	139
Duval	TX	738.8316151	1	5	105
Bernalillo	NM	738.4818924	50	1184	7857
Marion	TX	732.7796776	1	5	115
Lee	SC	730.3646373	0	18	255
Shasta	CA	725.2206951	7	165	1754
Laurens	SC	724.7580365	6	49	734
North Slope Borough	AK	722.6925459	1	3	36
Hinds	MS	721.5219335	66	846	4627
Cibola	NM	720.6877629	1	7	232
Tulsa	OK	719.1412721	45	1122	7291
Putnam	FL	717.8582747	5	51	1029
Jefferson	TX	710.8948399	20	554	3147
Ohio	WV	706.6572141	0	46	322
San Francisco	CA	701.4217104	69	3554	5401
Bamberg	SC	699.9351912	0	21	231
Merced	CA	696.3544912	23	331	2686
Harris	TX	696.1038338	307	12449	43644
Jim Wells	TX	695.7773512	13	7	467
Oklahoma	OK	694.8738489	83	1137	10118
McKinley	NM	694.3307688	7	67	540
Mississippi	MO	693.1802269	2	6	128
Alpine	CA	690.2502157	0	0	18
Calhoun	GA	689.8666258	0	14	21
Dyer	TN	688.2474551	0	23	387
Clark	NV	685.153077	94	4422	17538
Guadalupe	NM	681.1689739	0	6	34
San Juan	NM	675.0828044	6	57	725
Fairfield	SC	675.0616643	4	15	211
McDonald	MO	673.8186009	1	4	110
Taylor	FL	673.754211	3	6	117
Wayne	GA	668.2847358	8	24	318
East Baton Rouge Parish	LA	667.0754469	84	1297	5806
Leon	FL	664.1948589	17	576	3378
Lander	NV	663.1299735	0	0	38
Orange	FL	662.6310837	76	1977	14034
Leflore	MS	661.2459265	2	46	601
Essex	NJ	659.9836619	121	2938	4849
Peach	GA	658.9175983	0	19	286
Burke	GA	658.7270427	2	11	215
Hamilton	TN	658.496643	26	560	3405
Miami-Dade	FL	656.0124348	210	6006	21105
Columbia	FL	654.3979391	3	46	812
Crockett	TN	651.0862861	1	2	81
Lenoir	NC	650.100146	1	76	796
Hempstead	AR	649.6395835	2	12	332
Hutchinson	TX	646.2257665	0	5	184
Richmond city	VA	644.9835135	44	640	2068
Jefferson Davis	MS	644.4593237	5	3	206
Conecuh	AL	644.0599053	1	8	108
Morehouse Parish	LA	639.3909155	0	34	315
Early	GA	635.553026	1	8	105
Henderson	TN	634.6263548	1	10	204
Richmond	NY	634.123325	24	1143	1053
New York	NY	634.0093435	81	3932	3623
Jefferson	IL	633.9923403	0	27	326
Bronx	NY	632.0428157	71	3420	3165
Queens	NY	630.3962024	114	5522	5088
Kings	NY	630.2492642	129	6235	5742
Warren	GA	629.7229219	0	1	30
Nash	NC	628.8580653	11	100	1125
Lauderdale	TN	626.0118726	2	16	420
Cocke	TN	625.7222582	3	24	483
Bowie	TX	622.5464503	7	88	1073
Hampton	SC	622.3049784	0	18	203
Hendry	FL	621.814203	0	37	595
