State,Avg_Daylight_Hours,Sunrise_Variability,Daylight_Hours_Range
AK,10.79,0.7766201702820301,0.6833333333333318
AL,11.616666666666667,0.0,0.0
AR,11.55,0.0,0.0
AZ,11.566666666666666,0.0,0.0
CA,11.5,0.18431555067932315,0.11666666666666892
CO,11.416666666666664,0.0,0.0
CT,11.416666666666668,0.0,0.0
DC,11.483333333333334,0.0,0.0
FL,11.691666666666665,0.2239171473757399,0.08333333333333215
GA,11.583333333333336,0.0,0.0
HI,11.783333333333335,0.0,0.0
IA,11.408333333333331,0.011785113019775436,0.016666666666667496
ID,11.316666666666668,0.0,0.0
IL,11.433333333333334,0.07071067811865545,0.06666666666666288
IN,11.466666666666669,0.0,0.0
KS,11.466666666666669,0.0,0.0
KY,11.491666666666667,0.04714045207910394,0.01666666666667105
LA,11.641666666666666,0.058925565098879376,0.01666666666666572
MA,11.399999999999999,0.0,0.0
MD,11.475000000000001,0.011785113019775436,0.01666666666666572
ME,11.349999999999998,0.0,0.0
MI,11.391666666666666,0.07071067811865482,0.016666666666667496
MN,11.341666666666665,0.0,0.01666666666666572
MO,11.483333333333333,0.1298503412052162,0.033333333333333215
MS,11.6,0.0,0.0
MT,11.25,0.1767766952966369,0.03333333333333144
NC,11.533333333333331,0.0,0.0
ND,11.283333333333335,0.0,0.0
NE,11.433333333333334,0.0,0.0
NH,11.383333333333333,0.0,0.0
NJ,11.45,0.0,0.0
NM,11.524999999999999,0.0235702260395515,0.016666666666667496
NV,11.466666666666665,0.2474873734152917,0.0666666666666682
NY,11.416666666666668,0.011785113019775436,0.0666666666666682
OK,11.549999999999997,0.0,0.0
OR,11.283333333333333,0.011785113019775436,3.552713678800501e-15
PA,11.450000000000003,0.07264831572567763,0.03333333333333144
SC,11.583333333333332,0.0,0.0
SD,11.358333333333334,0.1767766952966369,0.01666666666666572
TN,11.55,0.0,0.0
TX,11.638888888888891,0.08552669065744757,0.03333333333333499
UT,11.400000000000002,0.0,0.0
VA,11.500000000000002,0.0,0.0
VT,11.35,0.0,0.0
WA,11.216666666666667,0.011785113019775436,0.03333333333333499
WI,11.383333333333333,0.058925565098879376,0.0
WV,11.5,0.0,0.0
