Site_Name,Year_Recorded,longitude,latitude
Vista Avenue Viaduct,1984,-122.69788768399997,45.519205070000055
Astoria Column,1974,-123.81777660099999,46.18142220300007
Rock O' the Range Bridge,1979,-121.28637619399996,44.12295200500006
Harris Bridge,1979,-123.46033142499999,44.57965174800006
Sandy Creek Bridge,1979,-123.89124263399998,43.00664115200004
Hayden Bridge,1979,-123.63103128799997,44.38320758300006
Milo Academy Bridge,1979,-123.03866982999995,42.935360168000045
McKee Bridge,1979,-123.07310501099994,42.126074396000035
Oregon Iron Company Furnace,1974,-122.66051121399994,45.41086111300007
Lake Creek Bridge,1979,-123.67353719299996,44.10404606000003
Goodpasture Bridge,1979,-122.58731110999997,44.148137321000036
Belknap Bridge,1979,-122.22818379899996,44.16814792200006
Pengra Bridge,1979,-122.84536863099999,43.96618878600003
Unity Bridge,1979,-122.77513986799994,43.94504806100008
Currin Bridge,1979,-122.99658914099996,43.79332940100005
Mosby Creek Bridge,1979,-123.00466738099999,43.77802254900007
Stewart Bridge,1979,-122.99416766699994,43.76613708900004
Coyote Creek Bridge,1979,-123.34302942399995,43.96978703500008
Deadwood Creek Bridge,1979,-123.71998779399996,44.14283773200003
Chitwood Bridge,1979,-123.81737389799997,44.65210821000005
North Fork of the Yachats Bridge,1979,-123.969591848,44.309715089000065
Fisher School Bridge,1979,-123.84107561899998,44.29223097900007
Short Bridge,1979,-122.50971328399999,44.39145382300006
Larwood Bridge,1979,-122.74036651699998,44.62988394100006
Crawfordsville Bridge,1979,-122.86021876499996,44.357581700000026
Hannah Bridge,1979,-122.71891478199996,44.71202569600007
Gallon House Bridge,1979,-122.79808767699996,45.03213079100004
Ritner Creek Bridge,1979,-123.44231360899994,44.72862370300004
Umpaqua River Light House,1977,-124.19805177999996,43.66217044000007
Lost Creek Bridge,1979,-122.74990140199998,42.42244800700007
Oregon Railway and Navigation Company Bridge,1980,-123.04680822099999,44.11236683800007
Parvin Bridge,1979,-122.82250356399999,43.899572212000066
Office Bridge,1979,-122.49549923399996,43.76770232900003
Grave Creek Bridge,1979,-123.37738079199994,42.63630273100006
Lowell Bridge,1979,-122.77938435599998,43.909086020000075
Wildcat Creek Bridge,1979,-123.65381518399994,44.00359119900003
Crabtree Creek--Hoffman Covered Bridge,1987,-122.89030605799996,44.653354311000044
Thomas Creek--Gilkey Covered Bridge,1987,-122.90340260999994,44.687845769000035
Thomas Creek--Shimanek Covered Bridge,1987,-122.80447305899997,44.715580971000065
Herschell--Spillman Noah's Ark Carousel,1987,-123.94135599999998,45.46932258500004
"Mangels, William F., Four-Row Carousel",1987,-122.71094134399999,45.507987523000054
Sinnott Memorial Building No. 67,1988,-122.14358517799997,42.911540847000026
Yamhill River Lock and Dam,1991,-123.10414303999994,45.230390440000065
"HUME, MARY D.",1979,-124.41944492599998,42.421453117000055
Chambers Bridge,1979,-123.06980137,43.79254299100006
Winchester Dam,1996,-123.35455450799998,43.28457162800004
Winchester Dam,1996,-123.35331564599994,43.28349488200007
Black Warrior Mine,1974,-121.02548807799997,48.47977109800007
Capital Boulevard Crossing,1982,-122.90323468799994,47.01376461900003
Patos Island Light Station,1977,-122.97114414699996,48.78890133500005
City Waterway Bridge,1982,-122.43361438799997,47.253835510000044
City Waterway Bridge,1982,-122.42766065199999,47.254435803000035
Columbia River Bridge,1982,-120.29942632199999,47.414005444000054
Columbia River Bridge,1982,-120.29485973499999,47.41515756900003
Cowen Park Bridge,1982,-122.31361654199998,47.67104977000008
Baker River Bridge,1976,-121.74403004499999,48.54104323200005
Duckabush River Bridge,1982,-122.89906294399998,47.68997460800006
Dungeness River Bridge,1982,-123.14737967199994,48.08536217500006
East 34th Street Bridge,1982,-122.43311984399998,47.23826576600004
Elwha River Bridge,1982,-123.55776813499995,48.10092942800003
Fairfax Bridge,1982,-122.04161959299995,47.04119831600008
Goldsborough Creek Bridge,1982,-123.10056191599995,47.20930175900003
High Steel Bridge,1982,-123.28006239299998,47.367823384000076
Hoquiam River Bridge,1982,-123.87687425499996,46.97526865400005
Middle Fork Nooksack River Bridge,1982,-122.11233788199996,48.78449877000003
Montlake Bridge,1982,-122.30474004599995,47.647332161000065
Mount Baker Ridge Tunnel,1982,-122.28847532299994,47.59000616800006
Mount Baker Ridge Tunnel,1982,-122.29446015899998,47.590043166000044
North Hamma Hamma River Bridge,1982,-123.04378760299994,47.539478978000034
South Hamma Hamma River Bridge,1982,-123.04245621399997,47.536330218000046
North 21st Street Bridge,1982,-122.47088246399994,47.26724135200004
North 23rd Street Bridge,1982,-122.47170388499995,47.27768324400006
Penstock Bridge,1982,-120.70894196199998,47.58795882900006
Purdy Bridge,1982,-122.62837408499996,47.392755788000045
Ravenna Park Bridge,1982,-122.30694567799998,47.67181943000003
Schmitz Park Bridge,1982,-122.40340664799999,47.57716526200005
12th Avenue South Bridge,1982,-122.31726185599996,47.59584991600008
University Bridge,1982,-122.32010978999995,47.65318293100006
Fremont Bridge,1982,-122.34987447099996,47.647687018000056
Ballard Bridge,1982,-122.37619122099994,47.66285953000005
Vance Creek Bridge,1982,-123.32065591399999,47.33478384500006
West Monitor Bridge,1982,-120.42563229499996,47.501049316000035
Yale Bridge,1982,-122.37298871399997,45.96093933700007
Coke Ovens,1974,-122.04026114499999,47.10219797000008
Blewett Arrastra,1974,-120.65825809899997,47.42693963500005
Burbank Homestead Waterwheel,1973,-120.45697593599999,47.520196551000026
Grays River Covered Bridge,1971,-123.58094086599999,46.35467846200004
Rock Island Railroad Bridge,1975,-120.15372881399998,47.36719274500007
14th Avenue South Bridge,1982,-122.35189816599996,47.57022710100006
McMillin Bridge,1982,-122.23648907899997,47.13004134700003
Point Wilson Lighthouse,1971,-122.75517218499999,48.143981318000044
Washington Street Public Boat Landing Facility,1974,-122.32291631399994,47.60092225900007
West Point Light Station,1977,-122.43573743199994,47.66199844500005
Aurora Avenue Bridge,1982,-122.34741505699998,47.65271179500007
Aurora Avenue Bridge,1982,-122.34726431399997,47.643443227000034
Arboretum Sewer Trestle,1982,-122.29894806299995,47.64234810100004
"Eddy, James G., House and Grounds (Boundary Increase)",1986,-122.24102941299998,47.61957470600004
Iron Pergola,1971,-122.33402738499996,47.601761175000036
Causland Park,1981,-122.61644996799998,48.51630718300004
Vancouver-Portland Bridge,1982,-122.68203040399999,45.60642669300006
Vancouver-Portland Bridge,1982,-122.672575285,45.62251159700003
Deception Pass,1982,-122.64496290999995,48.408573825000076
SIERRA (motor ship),1978,-123.80193125599999,46.97509874700006
U.S.S. MISSOURI,1971,-122.65680748399996,47.55259495900003
M. V. VASHON,1982,-122.34833455699999,47.60237428900007
WAWONA (schooner),1970,-122.34041326199997,47.64509559000004
EQUATOR (schooner),1972,-122.21512908299997,47.99765546400005
Simpson Logging Company Locomotive No. 7 and Peninsular Railway Caboose No. 700,1984,-123.10215342699996,47.212899707000076
Columbia River Gillnet Boat,1978,-123.65542028899995,46.265934377000065
Wagner Houseboat,1982,-122.34697111199995,47.64560102400003
LOTUS (motor vessel),1987,-122.90461847699999,47.04922074900003
Longview Bridge,1982,-122.95398963699995,46.11314292000003
Longview Bridge,1982,-122.96668005699996,46.09928713100004
Winchester Mountain Lookout,1987,-121.64311864899997,48.95666466000006
Three Fingers Lookout,1987,-121.68754561799994,48.16995620500006
Evergreen Mountain Lookout,1987,-121.26385581999995,47.83641511500008
Miners Ridge Lookout,1987,-121.02939611199997,48.20712620300003
Suntop Lookout,1987,-121.59470779999998,47.041131258000064
Hidden Lake Peak Lookout,1987,-121.20532627899996,48.495310043000075
ZODIAC (schooner),1982,-122.32850249499995,47.63217758400003
W. T. PRESTON (snagboat),1972,-122.60934155099994,48.51619333800005
W. T. PRESTON (snagboat),1972,-122.39680061799999,47.66593010200006
COASTER II,1989,-122.22156240599998,48.00219788700008
Christine Falls Bridge,1991,-121.77966104599994,46.78079547900006
Edith Creek Chlorination House,1991,-121.73284992899994,46.793785324000055
LA MERCED,1990,-122.64722350099998,48.511367438000036
Park Butte Lookout,1987,-121.85625115499994,48.716298143000074
Snoqualmie Falls Cavity Generating Station,1976,-121.83661513999999,47.54060121800006
Aircraft Warning Service Observation Tower,1993,-123.25112946299998,48.10335764100006
St. Andrews Creek Bridge,1991,-121.90548726799994,46.83588335400003
Narada Falls Bridge,1991,-121.74638648299998,46.77512610300005
South Puyallup River Bridge,1991,-121.89189877799998,46.80794545800006
Chinook Pass Entrance Arch,1991,-121.51566654399994,46.872167716000035
White River Bridge,1991,-121.61906423499994,46.89802896600003
Norman Bridge,1994,-121.76935225399995,47.516053717000034
Jim Creek Bridge,1995,-122.51658111299997,45.99574948000003
Winnifred Street Bridge,1995,-122.51330332399999,47.29757388000007
Dofflemyer Point Light,1995,-122.90715823499994,47.14042385300007
Toppenish--Zillah Bridge,1995,-120.28137829299999,46.39968414200007
Patton Bridge,1995,-122.160551796,47.28824277000007
Donald--Wapato Bridge,1995,-120.39855980899995,46.465953022000065
Agate Pass Bridge,1995,-122.56611618599999,47.71232285600007
Lake Keechelus Snowshed Bridge,1995,-121.36604071699998,47.35525905500003
Columbia River Bridge at Wenatchee,1995,-120.29593046699995,47.409783478000065
TOURIST II (auto ferry),1997,-122.20886063699999,47.67442371700008
SAND MAN (Tug Boat),1998,-122.88466240399998,47.023375861000034
Alexander-Acacia Bridge,1984,-122.53182614399998,37.93013468200007
Glen Canyon Covered Bridge,1984,-122.00320110699994,37.00008893100005
Olema Lime Kilns,1976,-122.74715193899999,37.98838927200006
Lower Blackburn Grade Bridge,1981,-123.89059651899998,40.480548371000054
Pope Street Bridge,1972,-122.45582461999999,38.51119703400008
Lodi Arch,1980,-121.27176039799997,38.13410481900007
Felton Covered Bridge,1973,-122.07146184299995,37.051933388000066
Tower Bridge,1982,-121.50811098199995,38.571614030000035
Point Pinos Lighthouse,1977,-121.93367671799996,36.633415952000064
Dickerman Barn,1982,-122.30679890399995,37.11916722400008
"Peralta, Luis Maria, Adobe",1973,-121.89434813399998,37.33632660400008
Gianella Bridge,1982,-121.99726022799996,39.751030928000034
Gold Dredge,1971,-120.47742878199995,37.63326014100005
I Street Bridge,1982,-121.50615538199997,38.57735629100006
Nippon Hospital,1978,-121.29266027499995,37.951741524000056
Five Mile Drive--Sutter Creek Bridge,1986,-120.95848446399998,38.35381167600008
Oregon Creek Covered Bridge,1975,-121.08218303399997,39.396555801000034
Sather Gate and Bridge,1982,-122.25967055499996,37.870601398000076
Green Brae Brick Yard,1978,-122.50430094399997,37.945163156000035
Fernbridge,1987,-124.20327309099997,40.614103183000054
LEWIS ARK (Houseboat),1979,-122.42148457799999,37.80941061900006
M.V. SANTA ROSA,1979,-122.39430580999999,37.79890867200004
DELTA KING,1978,-121.677279968,38.17082644800007
Hershell-Spillman Merry-Go-Round,1976,-122.25697290299996,37.90140826700008
Boca Dam,1981,-120.09426547299995,39.390450472000055
Lake Tahoe Dam,1981,-120.14491500899999,39.16702473400005
Honey Run Covered Bridge,1988,-121.70347758699995,39.72874881100006
Guerneville Bridge,1989,-122.99549078499996,38.50102523400005
Sierra County Sheriff's Gallows,1990,-120.83049577499997,39.558234569000035
St. George Reef Light Station,1993,-124.37658397499996,41.83701921800008
Davis Subway,1998,-121.73989842299994,38.54162998500004
Spillman Engineering 3-Abreast Carousel,2000,-121.81413839199996,37.32590432100005
Parker Meadows Shelter,2000,-122.32484975999995,42.601075629000036
Dead Indian Soda Springs Shelter,2000,-122.45149072199996,42.33797038400007
Fish Lake Shelter,2000,-122.31796465199994,42.39372151300006
Wrangle Gap Shelter,2000,-122.85613975599995,42.050535565000075
PIRATE (R-Class Sloop),2000,-122.32284647899996,47.62692558100008
Wilkeson Arch,2000,-122.05197798899997,47.110304401000064
SS Red Oak Victory (victory ship),2001,-122.38681154399995,37.90828660400007
Osgood Ditch,2001,-123.63336005299999,41.96619755000006
Osgood Ditch,2001,-123.63914238399997,42.04364955600005
Logan Wash Ditch,2001,-123.61938493999997,42.06713917800005
Logan Wash Ditch,2001,-123.62221008599994,42.06927643900008
Logan Cut,2001,-123.64142149999998,42.091281570000035
Logan Cut,2001,-123.66080555699995,42.10532065000007
Logan Drain Ditches,2001,-123.62865408299996,42.07797762400003
Logan Drain Ditches,2001,-123.62910153399997,42.081667853000056
SCHOONER MARTHA,2001,-122.33574027299994,47.627216978000035
Deception Pass,1982,-122.64423761699999,48.406007515000056
Mountain Quarries Bridge,2004,-121.041455483,38.912575494000066
First Street Bridge,2004,-122.27933749999994,38.301577363000035
Milliken Creek Bridge,2004,-122.27405662599995,38.325372912000034
Willamette River (Oregon City) Bridge (No. 357),2005,-122.60980015599995,45.35917578100003
Garnett Creek Bridge on CA 29,2005,-122.59139350199996,38.59303861300003
Maxwell Creek Bridge on Hardin Road,2005,-122.37119302399998,38.601521956000056
Garnett Creek Bridge on Greenwood Avenue,2005,-122.58938227599998,38.60339523500005
Carneros Creek Bridge on Old Sonoma Road,2005,-122.34046249599999,38.25664191100003
Swartz Creek Bridge on Aetna Springs Road,2005,-122.47658436999996,38.65331898800008
Napa River Bridge on Zinfandel Lane,2005,-122.54057193999995,38.495519940000065
Rogue River Bridge No. 01172,2005,-124.41330224399996,42.427229468000064
Umpqua River Bridge No. 01822,2005,-124.100935075,43.709553363000055
Siuslaw River Bridge No. 01821,2005,-124.10867441899995,43.96440725700006
Coos Bay Bridge NO. 01823,2005,-124.22225504099998,43.42649540300005
Ten Mile Creek Bridge No. 01181,2005,-124.10972771399997,44.224144616000046
Big Creek Bridge No. 01180,2005,-124.11527437099994,44.17434797300007
Cape Creek Bridge No. 01113,2005,-124.12172019099995,44.13355412300007
Depoe Bay Bridge No. 01388,2005,-124.06204406999996,44.809831349000035
Yaquina Bay Bridge No. 01820,2005,-124.05719844699996,44.62288148400006
Rocky Creek Bridge No. 01089,2005,-124.07140291499996,44.778398872000025
Wilson River Bridge No. 01499,2005,-123.84450568499994,45.478235496000025
Union Street Railroad Bridge and Trestle,2006,-123.04206197499997,44.94706267600003
"Spokane, Portland and Seattle Railway Steam Locomotive",2006,-122.64582187699995,45.49137704700007
MV KALAKALA (ferry),2006,-122.39002121699997,47.27738536900006
"Fair Oaks Bridge, Old,",2006,-121.26615521499997,38.637878847000025
USS LCI-713 (Landing Craft),2007,-123.797524039,46.196595467000066
MV WESTWARD (Wooden Motor Vessel),2007,-122.33497422399995,47.62779739300004
Dodger Point Fire Lookout,2007,-123.50946351699997,47.87446693000004
Hayes River Fire Cache,2007,-123.45386384499994,47.80938677200004
Pyramid Peak Aircraft Warning Service Lookout,2007,-123.81365343099998,48.074750737000045
Altair Campground Community Kitchen,2007,-123.59292723299995,48.01141171300003
Elwah Campground Community Kitchen,2007,-123.58830860999996,48.02741450900004
USS BLUEBACK (submarine),2008,-122.667096749,45.50788607900006
"Bunyan, Paul, Statue",2009,-122.68650469099998,45.583657671000026
JOHN N. COBB (fisheries research vessel),2009,-122.25726496799996,47.68997166100007
Healdsburg Memorial Bridge,2011,-122.86070794499994,38.60394811800006
Healdsburg Memorial Bridge,2011,-122.85984622899997,38.60412731200006
Pelota Fronton,1972,-117.05181273499994,42.97292454700005
SUMPTER VALLEY GOLD DREDGE (dredge),1971,-118.20384041099999,44.74153895300003
Owsley Bridge,1998,-114.88998800999997,42.76431560900005
North Fork Road,1996,-114.34693829099996,48.93554517100006
Strap Iron Corral,1975,-118.13750371099997,46.84479970400008
Beverly Railroad Bridge,1982,-119.94944178799994,46.83115380800007
Beverly Railroad Bridge,1982,-119.93864775699996,46.83521164100006
Curlew Bridge,1982,-118.60144338499998,48.885456599000065
F Street Bridge,1982,-117.06954673899997,46.90992163400006
Grand Coulee Bridge,1982,-118.98248424999997,47.96540539200004
Idaho and Wash. Northern RR Bridge,1982,-117.41011277599995,48.780441978000056
Indian Timothy Memorial Bridge,1982,-117.21372799499994,46.41180039000005
Manning-Rye Covered Bridge,1982,-117.41544547199999,46.92826725400005
Orient Bridge,1982,-118.19883116299997,48.866331897000066
Red Mountain Railroad Bridge,1982,-117.81580268699997,48.96746824300004
Red Mountain Railroad Bridge,1982,-117.81429255899997,48.96702910800008
Rosalia Railroad Bridge,1982,-117.35762763099996,47.22083507600007
Rosalia Railroad Bridge,1982,-117.36239224699995,47.22225985500006
Snake River Bridge,1982,-118.22553174299998,46.59109234200008
Sunset Boulevard Bridge,1982,-117.44777817399995,47.64981688600005
Washington Street Bridge,1982,-117.41792609399994,47.66333635600006
Okanogan Project: Conconully Resevoir Dam,1974,-119.74923165899997,48.537625053000056
Enloe Dam and Powerplant,1978,-119.50214868199998,48.96568457300003
Monroe Street Bridge,1976,-117.42656418699994,47.66096508800007
Johnson Bridge,1982,-118.65014317199996,46.12260956600005
Italian Rock Ovens,1976,-117.59529786199994,47.449210864000065
Italian Rock Ovens,1976,-117.62347612899998,47.420266764000075
Canyon Grain Bin and Chutes,1988,-118.05224626399996,46.629267568000046
Canyon Grain Bin and Chutes,1988,-118.05235944699996,46.62836655000007
Columbia River Bridge at Kettle Falls,1995,-118.118142552,48.62590551200003
Spokane River Bridge at Fort Spokane,1995,-118.31744870899996,47.90810919200004
Grande Ronde River Bridge,1995,-117.25210514099996,46.04154303300004
Barstow Bridge,1995,-118.12554056299996,48.784486171000026
Marshall Bridge,1995,-117.49333022999997,47.56667008900007
Spokane River Bridge at Long Lake Dam,1995,-117.85233584599996,47.83859019200003
Columbia River Bridge at Northport,1995,-117.776708198,48.922308384000075
Grandview Road--Yellowstone Trail,1995,-119.99830765599995,46.25027071200003
Grandview Road--Yellowstone Trail,1995,-119.94247003099997,46.25176757200006
Lewiston Vineyards Gates,1983,-117.01829108899994,46.40111014800004
Bullion Tunnel,1984,-115.70222604499997,47.40114186400007
"Silva, Arthur D., Flume",1983,-114.45049929799995,42.99039248300005
Atlanta Dam and Power Plant,1977,-115.16330289599995,43.80327774500006
Priestly's Hydraulic Ram,1975,-114.25781628399994,42.74435176600008
"Anchustegui, Pedro, Pelota Court",1978,-115.697233859,43.13024657200003
JEAN (steamboat),1989,-117.05793521399994,46.369866871000056
Capitol Boulevard Memorial Bridge,1990,-116.20815013099997,43.608831499000075
Arctic Point Fire Lookout,1994,-115.03859731399996,45.47442254200007
Washington Water Power Bridges,1996,-116.95610431199998,47.711243523000064
Washington Water Power Bridges,1996,-116.95330493199998,47.71097251400005
Gimlet Pegram Truss Railroad Bridge,1997,-114.34618385499999,43.59787122900008
Cold Springs Pegram Truss Railroad Bridge,1997,-114.34941412099994,43.654039709000074
AT & SF Locomotive,1986,-114.06006504899995,35.18992947300006
Old Trails Bridge,1988,-114.48551854699997,34.71593382100008
Antelope Hill Highway Bridge,1979,-114.01279213499998,32.71899952800004
McPhaul Suspension Bridge,1981,-114.42133610199994,32.75948316800003
Ocean To Ocean Bridge,1979,-114.61545100199999,32.728496782000036
Gerlach Water Tower,1981,-119.35468130699996,40.65118797000008
Virginia Street Bridge,1980,-119.81266646999995,39.52504129400006
Ward Charcoal Ovens,1971,-114.84779944499996,39.037714668000035
Tybo Charcoal Kilns,1974,-116.43126089199995,38.37159599600005
Second Railroad Car No. 21,1978,-119.76933391799997,39.147525630000075
"Virginia and Truckee RR. Engines No. 18, The Dayton; and No. 22, The Inyo",1973,-119.76642300699996,39.147054257000036
Derby Diversion Dam,1978,-119.44802116099999,39.58581931100008
"Glenbrook, The",1981,-119.73265855599999,39.16848285400005
Carson River Diversion Dam,1981,-119.00010739499999,39.49709156000006
Humboldt River Bridge,1995,-117.73907132699998,40.976413637000064
